RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0
1.51115,17.38,0,0.34,75.41,0,6.65,0,0
1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0